procedure_area,property_type_id,property_sub_type_id,area_id,property_total_value,row_status,property_category,Year,Month
3298.06,1,63.0,303.0,10680000.0,1,2,2012,3
3079.46,1,65.0,373.0,11550560.0,1,1,2012,3
743.22,1,63.0,370.0,6400000.0,1,2,2012,3
66.0,3,23.0,343.0,649308.0,1,1,2012,3
43.0,3,23.0,343.0,472803.0,1,1,2012,3
170.62,2,4.0,434.0,1300000.0,1,2,2012,3
1393.55,1,63.0,264.0,3800000.0,1,2,2012,3
429.49,1,63.0,362.0,13000000.0,1,2,2012,3
594.58,1,63.0,303.0,2560000.0,1,2,2012,3
130.34,3,60.0,390.0,1300000.0,1,2,2012,3
9485.03,1,63.0,467.0,15314400.0,1,2,2012,3
470.27,1,63.0,328.0,1500000.0,1,2,2012,1
255.48,1,63.0,317.0,1300000.0,1,2,2012,1
4645.15,1,63.0,303.0,22000000.0,1,2,2012,2
5159.46,1,63.0,303.0,41652000.0,1,2,2012,2
2852.12,1,63.0,317.0,12280000.0,1,2,2012,2
222.04,1,63.0,233.0,750000.0,1,2,2012,5
1394.0,1,38.0,297.0,3300000.0,1,2,2012,5
67.94,3,60.0,330.0,585000.0,1,2,2012,8
1139.83,1,63.0,255.0,22084200.0,1,2,2012,8
67.68,3,60.0,330.0,580000.0,1,2,2012,8
62.98,3,60.0,330.0,540000.0,1,2,2012,8
73.83,3,60.0,330.0,630000.0,1,2,2012,8
67.68,3,60.0,330.0,580000.0,1,2,2012,8
4645.89,1,63.0,348.0,10001600.0,1,2,2012,9
13378.03,1,63.0,313.0,88603800.0,1,2,2012,9
250246.87,1,63.0,342.0,350172680.0,1,2,2012,9
1300.0,1,28.0,514.0,699650.0,1,3,2012,11
1393.55,1,63.0,369.0,2850000.0,1,2,2012,4
84.82,3,60.0,351.0,1000000.0,1,2,2012,4
3383.28,1,63.0,441.0,5826771.2,1,2,2012,4
4712.5,1,65.0,308.0,35507500.0,1,1,2012,4
410.59,3,42.0,526.0,2650769.0,1,3,2012,4
561.69,3,42.0,526.0,3202710.0,1,3,2012,4
1858.06,1,65.0,373.0,3400000.0,1,1,2012,4
17136.89,1,65.0,319.0,24840000.0,1,1,2012,4
3723.46,1,65.0,376.0,6000000.0,1,1,2012,4
3663.91,1,65.0,319.0,8668000.0,1,1,2012,4
3718.81,1,65.0,319.0,6822610.0,1,1,2012,4
3633.25,1,65.0,363.0,8603760.0,1,1,2012,4
3706.18,1,65.0,248.0,8800000.0,1,1,2012,4
7862.66,1,65.0,395.0,9309630.0,1,1,2012,4
939.71,1,65.0,247.0,2800000.0,1,1,2012,4
1761.44,1,65.0,247.0,7557200.0,1,1,2012,4
1858.06,1,65.0,247.0,11000000.0,1,1,2012,4
1624.69,1,65.0,378.0,4896920.0,1,1,2012,4
